0.009,0,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.298,0,0,0.059,0,0,0.3,0,0,0.007,0.066,0.185,0,0,0.01,0.066,0,0,0.076,0,0,0,0,0.193,0.026,0,0,0.078,0,0,0,0,0,0,0,0,0,0.089,0.047,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0.088,0.011,0,0,0.024,0,0.014,0.023,0.071,0.14,0.001,0.0004,0.009,0.011,0,0,0.012,0.005,0,0,0,0.028,0,0.001,0.1,0.07,0,0,0,0,0.006,0,0,0.011,0,0.002,0.013,0.005,0.006,0.001,0,0
0,0,0,0.011,0.05,0,0,0,0,0.053,0.101,0.105,0.05,0.007,0.025,0,0,0,0,0.003,0,0,0,0,0,0,0.1,0,0,0.2,0,0.014,0.048,0,0,0.005,0,0,0.0001,0,0,0,0.025,0
0,0,0,0.0001,0.312,0,0,0,0,0.372,0.017,0,0.085,0.0003,0.264,0.005,0,0,0,0.014,0,0,0,0,0,0,0,0.021,0,0.2,0,0.003,0.076,0,0,0.11,0,0,0.002,0.002,0.011,0,0.001,0
0.006,0,0,0.128,0,0,0.007,0,0.006,0.015,0,0,0,0,0.013,0.013,0,0,0.048,0,0,0,0,0.007,0.389,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.078,0,0.01,0,0,0
0,0,0,0.031,0.052,0,0,0,0,0.024,0.113,0.166,0.234,0.00003,0.0004,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0.053,0.037,0,0,0.069,0,0,0,0.084,0.215,0,0.033,0
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.026,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0.006,0,0,0,0,0
0.065,0,0,0.023,0,0,0.039,0,0.003,0.047,0.028,0.089,0.005,0.263,0.174,0.057,0,0,0,0.267,0,0.001,0,0.034,0,0.002,0.082,0,0,0.14,0,0.243,0.13,0,0,0.021,0,0,0.071,0,0.237,0,0.054,0
0.002,0,0.026,0,0,0,0.003,0,0,0,0,0,0,0,0.005,0.028,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
0.007,0,0.102,0,0,0,0.022,0,0,0,0,0,0,0,0,0.026,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.005,0,0.058,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.005,0,0,0
0,0,0,0,0.28,1,0,0.5,0,0,0,0,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.16,0,0,0.111,0,0.9,0.125,0,0,0,0.19,0,0,0,0.85
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.281,0.004,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.038,0,0.089,0,0,0,0.00003,0,0,0.002,0,0,0,0,0,0.022,0,0,0.009,0.004,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0.025,0,0,0
0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0.007,0,0,0,0,0,0.05,0,0,0,0,0,0.02,0.008,0,0,0,0,0.096,0,0,0,0,0,0,0,0,0,0,0
0.022,0,0,0,0,0,0.003,0,0,0,0.006,0,0,0,0.0004,0.233,0,0,0.066,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.007,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448,0,0,0,0,0,0,0,0,0,0,0.404,0,0,0,0,0,0
0.024,0,0.233,0.0001,0,0,0.0002,0,0,0,0,0,0,0,0,0.051,0,0,0,0.000001,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.064,0,0,0,0,0,0,0,0,0,0.074,0,0,0,0,0.22,0,0,0.065,0,0,0,0,0,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.203,0,0,0,0,0
0.007,0,0,0.17,0,0,0.259,0,0.271,0.002,0.046,0,0.009,0.072,0.029,0.0003,0,0,0,0.062,0,0.848,0,0.175,0,0.458,0,0.505,0,0,0,0.002,0.099,0,0,0.043,0,0.002,0.103,0.344,0.01,0.36,0.011,0
0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0.003,0.000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0,0,0,0,0
0,1,0,0.004,0.174,0,0,0,0,0.059,0,0,0.005,0,0.002,0,0,0,0,0.000002,0.8,0,0,0,0,0,0,0,0.1,0,0,0.001,0.003,0,0,0.031,0.946,0,0,0,0,0.513,0.499,0.1
0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.082,0,0,0.5,0,0.023,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.1,0,1,0,0,0,0.1,0,0.054,0,0,0.004,0,0,0,0.05
0,0,0,0,0.05,0,0,0,0,0.196,0.111,0,0.14,0.018,0.013,0.002,0,0,0,0.109,0,0,0,0,0,0,0,0.003,0,0.07,0,0.185,0.048,0,0,0.18,0,0,0.024,0.024,0.005,0,0.136,0
0.019,0,0.009,0.06,0,0,0,0,0,0,0,0.109,0,0.025,0.007,0.012,0,0,0.017,0,0,0,0,0.005,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0.01,0,0.003,0,0,0
0.191,0,0,0.264,0,0,0.16,0,0,0,0,0.204,0,0,0,0.029,0,0,0.176,0.00003,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.053,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00002,0,0,0,0,0,0
0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0
0.075,0,0.007,0.174,0,0,0.039,0,0.176,0.039,0.03,0.002,0.018,0.166,0.171,0.046,0,0,0.022,0.065,0,0.009,0,0.191,0.27,0.136,0,0.238,0,0.09,0,0.136,0.161,0,0,0.18,0,0,0.11,0.01,0.322,0.03,0.078,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.024,0,0,0.012,0,0,0.033,0,0.038,0,0,0,0.021,0.0002,0.003,0.07,0,0,0.011,0.018,0,0,0,0.02,0,0.363,0,0,0,0,0,0,0.184,0,0,0.068,0,0,0.045,0.01,0,0.001,0,0
0.071,0,0.018,0.038,0,0,0.037,0,0.094,0.076,0.277,0,0.034,0.004,0.031,0.046,0,0,0.003,0.189,0,0.086,0,0.117,0,0.001,0,0.075,0,0,0,0.002,0,0,0,0,0,0,0,0,0.01,0,0.005,0
0.015,0,0,0.013,0,0,0.052,0,0.398,0.061,0.021,0.0001,0.179,0.444,0.23,0.002,0,0,0,0.247,0,0.057,0,0.207,0,0.04,0,0.003,0,0.09,0,0.35,0,0,0,0.157,0,0,0.079,0.326,0.084,0.095,0.158,0
